x[0]=0, y[0]=6.28476, ex[0]=0, ey[0]=0.00537473
x[1]=70, y[1]=6.79073, ex[1]=0, ey[1]=0.00189589
x[2]=200, y[2]=7.65897, ex[2]=0, ey[2]=0.00220507
x[3]=270, y[3]=8.09403, ex[3]=0, ey[3]=0.00232219
x[4]=400, y[4]=8.86304, ex[4]=0, ey[4]=0.00265557
x[5]=600, y[5]=9.97765, ex[5]=0, ey[5]=0.00304746
x[6]=1000, y[6]=12.0079, ex[6]=0, ey[6]=0.00367024
x[7]=1400, y[7]=13.8586, ex[7]=0, ey[7]=0.00434695
x[8]=2000, y[8]=16.3683, ex[8]=0, ey[8]=0.0051596
x[9]=3000, y[9]=20.0781, ex[9]=0, ey[9]=0.00624552
x[10]=4000, y[10]=23.3657, ex[10]=0, ey[10]=0.00735307
x[11]=6000, y[11]=29.2184, ex[11]=0, ey[11]=0.00918192
