x[0]=0, y[0]=6.29351, ex[0]=0, ey[0]=0.0053354
x[1]=70, y[1]=6.7935, ex[1]=0, ey[1]=0.00186735
x[2]=200, y[2]=7.6558, ex[2]=0, ey[2]=0.002196
x[3]=270, y[3]=8.09575, ex[3]=0, ey[3]=0.00235497
x[4]=400, y[4]=8.86541, ex[4]=0, ey[4]=0.00265359
x[5]=600, y[5]=9.97073, ex[5]=0, ey[5]=0.0030088
x[6]=1000, y[6]=12.0055, ex[6]=0, ey[6]=0.00372357
x[7]=1400, y[7]=13.8524, ex[7]=0, ey[7]=0.00434392
x[8]=2000, y[8]=16.3609, ex[8]=0, ey[8]=0.00514278
x[9]=3000, y[9]=20.0776, ex[9]=0, ey[9]=0.00639382
x[10]=4000, y[10]=23.3777, ex[10]=0, ey[10]=0.00741975
x[11]=6000, y[11]=29.2351, ex[11]=0, ey[11]=0.00936161
