x[0]=0, y[0]=6.30171, ex[0]=0, ey[0]=0.00529978
x[1]=70, y[1]=6.79241, ex[1]=0, ey[1]=0.00600484
x[2]=200, y[2]=7.65069, ex[2]=0, ey[2]=0.00687833
x[3]=270, y[3]=8.09341, ex[3]=0, ey[3]=0.00757298
x[4]=400, y[4]=8.86258, ex[4]=0, ey[4]=0.00845521
x[5]=600, y[5]=9.97827, ex[5]=0, ey[5]=0.0101825
x[6]=1000, y[6]=12.0112, ex[6]=0, ey[6]=0.012171
x[7]=1400, y[7]=13.8549, ex[7]=0, ey[7]=0.0133066
x[8]=2000, y[8]=16.3408, ex[8]=0, ey[8]=0.016457
x[9]=3000, y[9]=20.0628, ex[9]=0, ey[9]=0.0193634
x[10]=4000, y[10]=23.3557, ex[10]=0, ey[10]=0.0233282
x[11]=6000, y[11]=29.2534, ex[11]=0, ey[11]=0.0283932
