Computing Time,Material,Thickness,EM_Model
9501.733549833298,alu,3000um,EM_Opt0
9409.04518532753,alu,3000um,EM_Opt1
13524.070091247559,alu,3000um,EM_Opt2
9227.829270362854,alu,3000um,EM_Opt3
13332.305283784866,alu,3000um,EM_Opt4
13506.27407670021,alu,3000um,EM_LIV
13283.168243646622,alu,3000um,EM_PEN
7427.885945081711,alu,4000um,EM_Opt0
10901.61703324318,alu,4000um,EM_Opt1
7638.798283815384,alu,4000um,EM_Opt2
10687.441437721252,alu,4000um,EM_Opt3
7568.219430446625,alu,4000um,EM_Opt4
10677.731652975082,alu,4000um,EM_LIV
11107.508578777313,alu,4000um,EM_PEN
1884.400424003601,alu,6000um,EM_Opt0
1837.038138628006,alu,6000um,EM_Opt1
1836.2748129367828,alu,6000um,EM_Opt2
1889.366515636444,alu,6000um,EM_Opt3
1896.0938749313354,alu,6000um,EM_Opt4
1267.9064214229584,alu,6000um,EM_LIV
1869.7210462093353,alu,6000um,EM_PEN
