Material, Thickness(in um), Time_EM_Opt0, Time_EM_Opt1, Time_EM_Opt2, Time_EM_Opt3, Time_EM_Opt4, Time_EM_LIV, Time_EM_PEN
alu, 0, 1614.6431832313538, 1638.9916281700134, 1636.4586100578308, 1582.492927789688, 1645.6939520835876, 1016.0487830638885, 1507.3849742412567
alu, 70, 895.37930560112, 1340.7229125499725, 1343.4619603157043, 1331.6342375278473, 1311.9832813739777, 876.9442758560181, 892.4041879177094
alu, 200, 1292.184146642685, 1940.9161043167114, 1913.7786235809326, 1288.3943991661072, 1935.792444229126, 1910.8812074661255, 1909.1749861240387
alu, 270, 1547.7664353847504, 2260.1109828948975, 2277.122938632965, 2314.367334127426, 2218.404591321945, 2309.0544815063477, 2293.7452902793884
alu, 400, 2899.4446291923523, 2857.4385340213776, 2962.9366459846497, 1994.627718925476, 1993.0221474170685, 2991.115104675293, 2992.7662551403046
alu, 600, 4039.716225862503, 4049.6476814746857, 4013.8404910564423, 4064.0354087352753, 3848.0128240585327, 4014.387267589569, 4059.859428167343
alu, 1000, 6434.418425798416, 4378.181918144226, 4473.776709079742, 6227.066484928131, 4460.0161073207855, 6437.7812514305115, 6482.9183576107025
alu, 1400, 5979.189570188522, 6113.272711515427, 8606.405144453049, 8828.469881772995, 8704.542736053467, 8487.635407686234, 8581.300142765045
alu, 2000, 8031.321898460388, 11662.311718463898, 11723.015619516373, 11669.377867937088, 8057.272025108337, 11771.880553245544, 7968.860113859177
alu, 3000, 9501.733549833298, 9409.04518532753, 13524.070091247559, 9227.829270362854, 13332.305283784866, 13506.27407670021, 13283.168243646622
alu, 4000, 7427.885945081711, 10901.61703324318, 7638.798283815384, 10687.441437721252, 7568.219430446625, 10677.731652975082, 11107.508578777313
alu, 6000, 1884.400424003601, 1837.038138628006, 1836.2748129367828, 1889.366515636444, 1896.0938749313354, 1267.9064214229584, 1869.7210462093353















































