# Parameter scan performed using fm_doocs_generic_scantool.py on 20240404T115239
# Original save path: ./eCTLogger_20240404T115239.txt
# DOOCS addresses used:
# Write [SP]: None [Stability Measurement] --> "[Stability Measurement]"
# Read [X]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.X/POSITION.RBV --> "FL Stage X RBV"
# Read [Y]: SINBAD.DIAG/TIMER.CENTRAL/MASTER/MACRO_PULSE_NUMBER --> "Macropulse Number"
# Additional recorded addresses:
#  [ADD 1]: SINBAD.FL/THORLABS.STAGE/ROTATIONMOUNT.1/POSITION.RBV --> "FL Rotation Mount RBV"
#  [ADD 2]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.Y/POSITION.RBV --> "FL Stage Y RBV"
#  [ADD 3]: SINBAD.UTIL/MACHINE.STATE/ACCLXSISRV04._SVR/SVR.ERROR_COUNT --> "Machine Alarm Deviating"
#  [ADD 4]: SINBAD.DIAG/TICT/K7510/CHARGE.LUT --> "Turbo-ICT (Look-up table)"
# Number of measurements per step: 1
# Data from the individual DOOCS addresses was NOT SYNCED
# ---------------------------
# [SP] Data Point (No.)	[X] Position (mm)	[Y] Index ()	[ADD 1] Position (deg)	[ADD 2] Position (mm)	[ADD 3] Count ()	[ADD 4] Charge (pC)	UNIX Time Stamp (seconds)
# ---------------------------
1.0	300.0	1975637018.0	0.026046525686979294	92.0	0.0	0.0	1712224360.0729733
3.0	300.0	1975637020.0	0.026046525686979294	92.0	0.0	0.008789785206317902	1712224360.2776482
4.0	300.0	1975637021.0	0.026046525686979294	92.0	0.0	0.003874780610203743	1712224360.381356
5.0	300.0	1975637022.0	0.026046525686979294	92.0	0.0	0.0	1712224360.4856784
6.0	300.0	1975637023.0	0.026046525686979294	92.0	0.0	0.0	1712224360.5906036
6.0	300.0	1975637023.0	0.026046525686979294	92.0	0.0	0.0	1712224360.5906036
7.0	300.0	1975637024.0	0.026046525686979294	92.0	0.0	0.0	1712224360.6935668
8.0	300.0	1975637025.0	0.026046525686979294	92.0	0.0	0.008692478761076927	1712224360.7957706
9.0	300.0	1975637026.0	0.026046525686979294	92.0	0.0	0.0	1712224360.8981483
10.0	300.0	1975637027.0	0.026046525686979294	92.0	0.0	0.0	1712224361.0397954
11.0	300.0	1975637029.0	0.026046525686979294	92.0	0.0	0.004261791240423918	1712224361.1423087
13.0	300.0	1975637031.0	0.026046525686979294	92.0	0.0	0.0	1712224361.3831294
14.0	300.0	1975637032.0	0.026046525686979294	92.0	0.0	0.0	1712224361.4862142
15.0	300.0	1975637033.0	0.026046525686979294	92.0	0.0	0.0	1712224361.589363
16.0	300.0	1975637034.0	0.026046525686979294	92.0	0.0	0.01674138754606247	1712224361.6942248
17.0	300.0	1975637035.0	0.026046525686979294	92.0	0.0	0.0	1712224361.7983892
18.0	300.0	1975637036.0	0.026046525686979294	92.0	0.0	0.0	1712224361.9904835
19.0	300.0	1975637038.0	0.026046525686979294	92.0	0.0	0.0	1712224362.0943308
20.0	300.0	1975637039.0	0.026046525686979294	92.0	0.0	0.0	1712224362.19766
21.0	300.0	1975637040.0	0.026046525686979294	92.0	0.0	0.0	1712224362.3024774
22.0	300.0	1975637041.0	0.026046525686979294	92.0	0.0	0.0	1712224362.4059613
22.0	300.0	1975637041.0	0.026046525686979294	92.0	0.0	0.0	1712224362.4059613
23.0	300.0	1975637042.0	0.026046525686979294	92.0	0.0	0.009188861586153507	1712224362.5113194
24.0	300.0	1975637044.0	0.026046525686979294	92.0	0.0	0.0	1712224362.65237
25.0	300.0	1975637045.0	0.026046525686979294	92.0	0.0	0.0	1712224362.7545748
27.0	300.0	1975637047.0	0.026046525686979294	92.0	0.0	0.0	1712224362.995738
28.0	300.0	1975637048.0	0.026046525686979294	92.0	0.0	0.0	1712224363.0988529
29.0	300.0	1975637049.0	0.026046525686979294	92.0	0.0	0.0	1712224363.2022092
29.0	300.0	1975637049.0	0.026046525686979294	92.0	0.0	0.0	1712224363.2022092
30.0	300.0	1975637050.0	0.026046525686979294	92.0	0.0	0.0	1712224363.3060503
31.0	300.0	1975637051.0	0.026046525686979294	92.0	0.0	0.0	1712224363.4081788
32.0	300.0	1975637052.0	0.026046525686979294	92.0	0.0	0.0	1712224363.5118902
33.0	300.0	1975637054.0	0.026046525686979294	92.0	0.0	0.00643747067078948	1712224363.6144683
34.0	300.0	1975637055.0	0.026046525686979294	92.0	0.0	0.0	1712224363.7167695
35.0	300.0	1975637056.0	0.026046525686979294	92.0	0.0	0.0	1712224363.819189
36.0	300.0	1975637057.0	0.026046525686979294	92.0	0.0	0.0	1712224363.9227571
38.0	300.0	1975637059.0	0.026046525686979294	92.0	0.0	0.0	1712224364.1664946
39.0	300.0	1975637060.0	0.026046525686979294	92.0	0.0	0.0	1712224364.2707884
40.0	300.0	1975637061.0	0.026046525686979294	92.0	0.0	0.0	1712224364.3742914
40.0	300.0	1975637061.0	0.026046525686979294	92.0	0.0	0.0	1712224364.3742914
41.0	300.0	1975637062.0	0.026046525686979294	92.0	0.0	0.014085544273257256	1712224364.478469
42.0	300.0	1975637063.0	0.026046525686979294	92.0	0.0	0.0	1712224364.899414
43.0	299.9169006347656	1975637067.0	0.026046525686979294	92.0	0.0	0.0	1712224365.0407598
44.0	299.8144836425781	1975637069.0	0.026046525686979294	92.0	0.0	0.0	1712224365.14356
45.0	299.671142578125	1975637070.0	0.026046525686979294	92.0	0.0	0.0	1712224365.2462683
47.0	299.2627868652344	1975637072.0	0.026046525686979294	92.0	0.0	0.008839057758450508	1712224365.4516833
48.0	298.997802734375	1975637073.0	0.026046525686979294	92.0	0.0	0.0	1712224365.5552452
48.0	298.997802734375	1975637073.0	0.026046525686979294	92.0	0.0	0.0	1712224365.5552452
49.0	298.6915588378906	1975637074.0	0.026046525686979294	92.0	0.0	0.0	1712224365.6873107
50.0	298.34454345703125	1975637075.0	0.026046525686979294	92.0	0.0	0.0	1712224365.790011
51.0	297.9580383300781	1975637076.0	0.026046525686979294	92.0	0.0	0.0	1712224365.8926244
52.0	297.5543518066406	1975637077.0	0.026046525686979294	92.0	0.0	0.0	1712224365.9951856
53.0	297.15069580078125	1975637078.0	0.026046525686979294	92.0	0.0	0.014348702505230904	1712224366.0977466
54.0	296.74786376953125	1975637079.0	0.026046525686979294	92.0	0.0	0.00523252971470356	1712224366.2000756
56.0	295.9419250488281	1975637081.0	0.026046525686979294	92.0	0.0	0.0	1712224366.4047022
57.0	295.53826904296875	1975637082.0	0.026046525686979294	92.0	0.0	0.0	1712224366.5084023
58.0	295.1346130371094	1975637083.0	0.026046525686979294	92.0	0.0	0.0	1712224366.6117718
59.0	294.3286437988281	1975637085.0	0.026046525686979294	92.0	0.0	0.0	1712224366.7552867
60.0	293.92449951171875	1975637086.0	0.026046525686979294	92.0	0.0	0.0	1712224366.8592982
61.0	293.521728515625	1975637087.0	0.026046525686979294	92.0	0.0	0.0	1712224366.9977884
62.0	293.1181335449219	1975637088.0	0.026046525686979294	92.0	0.0	0.0	1712224367.1018832
63.0	292.7152099609375	1975637089.0	0.026046525686979294	92.0	0.0	0.011098839342594147	1712224367.2047076
64.0	292.3125305175781	1975637090.0	0.026046525686979294	92.0	0.0	0.009254350326955318	1712224367.3077652
64.0	292.3125305175781	1975637090.0	0.026046525686979294	92.0	0.0	0.009254350326955318	1712224367.3077652
65.0	291.9087829589844	1975637091.0	0.026046525686979294	92.0	0.0	0.004197252914309502	1712224367.412675
66.0	291.5073547363281	1975637093.0	0.026046525686979294	92.0	0.0	0.0	1712224367.5174575
67.0	291.103759765625	1975637094.0	0.026046525686979294	92.0	0.0	0.014749892987310886	1712224367.6224346
68.0	290.2969665527344	1975637095.0	0.026046525686979294	92.0	0.0	0.0	1712224367.8035889
69.0	289.89434814453125	1975637096.0	0.026046525686979294	92.0	0.0	0.0	1712224367.9058306
71.0	289.0887451171875	1975637098.0	0.026046525686979294	92.0	0.0	0.013015922158956528	1712224368.1120698
72.0	288.6850891113281	1975637100.0	0.026046525686979294	92.0	0.0	0.0	1712224368.2172887
72.0	288.6850891113281	1975637100.0	0.026046525686979294	92.0	0.0	0.0	1712224368.2172887
73.0	288.281982421875	1975637101.0	0.026046525686979294	92.0	0.0	0.008943579159677029	1712224368.3223462
75.0	287.072509765625	1975637103.0	0.026046525686979294	92.0	0.0	0.0	1712224368.5692732
75.0	287.072509765625	1975637103.0	0.026046525686979294	92.0	0.0	0.0	1712224368.5692732
76.0	286.668701171875	1975637104.0	0.026046525686979294	92.0	0.0	0.0	1712224368.673665
77.0	286.2659912109375	1975637105.0	0.026046525686979294	92.0	0.0	0.00864702183753252	1712224368.7764087
