Event,Timestamp,Width,Intensity,Stage x Position,Material Thickness
0,0.078,76.2,8850.0,0.0,0.0
1,0.178,93.4,7630.0,0.0,0.0
2,0.278,77.8,8910.0,0.0,0.0
3,0.378,80.4,8470.0,0.0,0.0
4,0.478,85.8,9030.0,0.0,0.0
5,0.561,72.1,9040.0,0.0,0.0
6,0.678,90.6,9410.0,0.0,0.0
7,0.778,83.4,9580.0,0.0,0.0
8,0.878,73.1,9100.0,0.0,0.0
9,0.978,81.0,8810.0,0.0,0.0
10,1.078,96.2,8340.0,0.0,0.0
11,1.178,92.7,8510.0,0.0,0.0
12,1.278,86.4,8160.0,0.0,0.0
13,1.378,87.7,8520.0,0.0,0.0
14,1.478,78.3,8780.0,0.0,0.0
15,1.578,85.1,8860.0,0.0,0.0
16,1.678,79.3,9000.0,0.0,0.0
17,1.778,83.2,8570.0,0.0,0.0
18,1.878,78.1,8400.0,0.0,0.0
19,1.978,76.3,8800.0,0.0,0.0
20,2.078,76.0,8870.0,0.0,0.0
21,2.178,83.7,8400.0,0.0,0.0
22,2.278,82.7,8320.0,0.0,0.0
23,2.323,88.4,9260.0,0.0,0.0
24,2.478,68.5,8210.0,0.0,0.0
25,2.578,79.4,8800.0,0.0,0.0
26,2.678,84.7,7800.0,0.0,0.0
27,2.778,90.0,8120.0,0.0,0.0
28,2.878,79.6,8800.0,0.0,0.0
29,2.978,79.8,7640.0,0.0,0.0
30,3.078,80.1,7570.0,0.0,0.0
31,3.178,76.4,8960.0,0.0,0.0
32,3.278,100.0,7770.0,0.0,0.0
33,3.378,63.8,10400.0,0.0,0.0
34,3.478,77.2,7810.0,0.0,0.0
35,3.578,105.0,8160.0,0.0,0.0
36,3.678,67.7,9270.0,0.0,0.0
37,3.778,62.0,8470.0,0.0,0.0
38,3.878,56.7,11600.0,0.0,0.0
39,3.978,42.7,11300.0,0.0,0.0
40,4.078,28.5,14200.0,0.0,0.0
41,4.178,17.2,17600.0,0.0,0.0
42,4.278,8.85,25800.0,0.0,0.0
43,4.378,6.2,34500.0,0.0,0.0
44,4.478,6.52,41200.0,0.0,0.0
45,4.578,6.81,42400.0,0.0,0.0
46,4.678,6.71,45000.0,0.0,0.0
47,4.778,7.0,42500.0,0.0,0.0
48,4.878,6.84,41900.0,0.0,0.0
49,4.978,7.17,41400.0,0.0,0.0
50,5.078,6.97,38300.0,0.0,0.0
51,5.177,6.81,40600.0,0.0,0.0
52,5.277,7.17,42400.0,0.0,0.0
53,5.377,7.02,44200.0,0.0,0.0
54,5.477,7.02,41400.0,0.0,0.0
55,5.577,6.81,40400.0,0.0,0.0
56,5.677,6.88,39500.0,0.0,0.0
57,5.777,6.87,40300.0,0.0,0.0
58,5.877,6.85,41400.0,0.0,0.0
59,5.977,6.75,39900.0,0.0,0.0
60,6.077,6.82,43600.0,0.0,0.0
61,6.177,7.06,40700.0,0.0,0.0
62,6.277,6.8,40700.0,0.0,0.0
63,6.377,6.88,43000.0,0.0,0.0
64,6.477,6.88,37900.0,0.0,0.0
65,6.577,6.99,40900.0,0.0,0.0
66,6.677,7.53,28400.0,0.0,0.0
67,6.777,18.6,19600.0,0.0,0.0
68,6.877,22.1,16900.0,0.0,0.0
69,6.977,24.1,16600.0,0.0,0.0
70,7.077,21.9,17000.0,0.0,0.0
71,7.177,22.4,17600.0,0.0,0.0
72,7.277,21.0,17000.0,0.0,0.0
73,7.377,22.5,17600.0,0.0,0.0
74,7.477,22.8,16300.0,0.0,0.0
75,7.577,22.6,16400.0,0.0,0.0
76,7.677,22.4,17300.0,0.0,0.0
77,7.777,22.2,16800.0,0.0,0.0
78,7.877,23.3,15500.0,0.0,0.0
79,7.977,22.6,16400.0,0.0,0.0
80,8.077,22.7,17800.0,0.0,0.0
81,8.177,22.0,15900.0,0.0,0.0
82,8.277,22.8,15900.0,0.0,0.0
83,8.377,23.0,18100.0,0.0,0.0
84,8.477,22.2,13900.0,0.0,0.0
85,8.577,21.3,16800.0,0.0,0.0
86,8.677,24.7,16100.0,0.0,0.0
87,8.777,23.3,17600.0,0.0,0.0
88,8.877,25.1,16500.0,0.0,0.0
89,8.977,23.6,16200.0,0.0,0.0
90,9.077,22.9,18700.0,0.0,0.0
91,9.177,21.9,18600.0,0.0,0.0
92,9.277,23.4,17000.0,0.0,0.0
93,9.377,22.8,15500.0,0.0,0.0
94,9.477,22.0,17100.0,0.0,0.0
95,9.577,22.7,16900.0,0.0,0.0
96,9.677,23.4,14000.0,0.0,0.0
97,9.777,19.9,17600.0,0.0,0.0
98,9.877,23.3,16900.0,0.0,0.0
99,9.977,23.0,16500.0,0.0,0.0
100,10.077,22.9,17800.0,0.0,0.0
101,10.177,21.6,17700.0,0.0,0.0
102,10.277,23.5,16100.0,0.0,0.0
103,10.377,23.1,18600.0,0.0,0.0
104,10.477,24.2,15200.0,0.0,0.0
105,10.577,22.9,16700.0,0.0,0.0
106,10.677,23.9,15600.0,0.0,0.0
107,10.777,22.2,14300.0,0.0,0.0
108,10.877,22.7,16400.0,0.0,0.0
109,10.977,24.0,16100.0,0.0,0.0
110,11.077,22.1,16900.0,0.0,0.0
111,11.177,21.8,18500.0,0.0,0.0
112,11.277,22.4,18100.0,0.0,0.0
113,11.377,22.8,16800.0,0.0,0.0
114,11.477,21.2,15700.0,0.0,0.0
115,11.577,23.0,15200.0,0.0,0.0
116,11.677,21.0,17100.0,0.0,0.0
117,11.777,22.4,17500.0,0.0,0.0
118,11.877,22.5,16200.0,0.0,0.0
119,11.977,22.4,16100.0,0.0,0.0
120,12.077,23.5,17400.0,0.0,0.0
121,12.165,23.2,17300.0,0.0,0.0
122,12.277,23.3,16800.0,0.0,0.0
123,12.378,22.8,16000.0,0.0,0.0
124,12.478,22.2,17100.0,0.0,0.0
125,12.578,24.3,17100.0,0.0,0.0
126,12.678,22.7,17400.0,0.0,0.0
127,12.778,22.5,18200.0,0.0,0.0
128,12.878,22.6,14600.0,0.0,0.0
129,12.978,23.8,16400.0,0.0,0.0
130,13.078,22.3,18600.0,0.0,0.0
131,13.178,23.5,15300.0,0.0,0.0
132,13.278,23.0,16800.0,0.0,0.0
133,13.378,22.9,17500.0,0.0,0.0
134,13.478,22.7,15300.0,0.0,0.0
135,13.578,21.8,17500.0,0.0,0.0
136,13.678,23.9,16800.0,0.0,0.0
137,13.778,23.6,17200.0,0.0,0.0
138,13.878,22.0,17900.0,0.0,0.0
139,13.978,22.6,18200.0,0.0,0.0
140,14.078,24.8,17400.0,0.0,0.0
141,14.178,22.2,16400.0,0.0,0.0
142,14.278,23.7,16100.0,0.0,0.0
143,14.378,21.3,17600.0,0.0,0.0
144,14.478,25.0,18100.0,0.0,0.0
145,14.578,25.2,16900.0,0.0,0.0
146,14.63,29.2,14900.0,0.0,0.0
147,14.778,28.0,16000.0,0.0,0.0
148,14.878,27.8,14600.0,0.0,0.0
149,14.978,28.7,14200.0,0.0,0.0
150,15.078,28.7,13300.0,0.0,0.0
151,15.178,29.4,14100.0,0.0,0.0
152,15.278,26.9,15200.0,0.0,0.0
153,15.378,28.4,15500.0,0.0,0.0
154,15.478,27.6,13000.0,0.0,0.0
155,15.578,30.1,15700.0,0.0,0.0
156,15.678,28.8,14700.0,0.0,0.0
157,15.778,30.0,13500.0,0.0,0.0
158,15.878,30.3,14400.0,0.0,0.0
159,15.978,28.8,14200.0,0.0,0.0
160,16.078,29.0,13900.0,0.0,0.0
161,16.178,28.1,14600.0,0.0,0.0
162,16.278,29.3,13500.0,0.0,0.0
163,16.378,28.7,14000.0,0.0,0.0
164,16.478,27.9,14400.0,0.0,0.0
165,16.578,28.7,15000.0,0.0,0.0
166,16.678,30.0,13800.0,0.0,0.0
167,16.778,29.1,15000.0,0.0,0.0
168,16.878,28.2,15600.0,0.0,0.0
169,16.978,28.1,14000.0,0.0,0.0
170,17.078,29.9,14900.0,0.0,0.0
171,17.178,27.9,13800.0,0.0,0.0
172,17.278,27.1,15900.0,0.0,0.0
173,17.377,26.4,16400.0,0.0,0.0
174,17.477,29.2,13900.0,0.0,0.0
175,17.577,28.9,14300.0,0.0,0.0
176,17.677,29.5,14200.0,0.0,0.0
177,17.777,27.9,14400.0,0.0,0.0
178,17.877,27.4,14800.0,0.0,0.0
179,17.977,28.3,13800.0,0.0,0.0
180,18.077,29.7,13800.0,0.0,0.0
181,18.177,29.4,14100.0,0.0,0.0
182,18.277,28.1,15000.0,0.0,0.0
183,18.377,29.0,13300.0,0.0,0.0
184,18.477,29.5,14900.0,0.0,0.0
185,18.577,30.5,15300.0,0.0,0.0
186,18.677,28.5,14300.0,0.0,0.0
187,18.777,26.8,13900.0,0.0,0.0
188,18.877,30.2,14100.0,0.0,0.0
189,18.977,27.5,17300.0,0.0,0.0
190,19.077,25.6,17300.0,0.0,0.0
191,19.177,16.5,20600.0,0.0,0.0
192,19.277,14.6,22400.0,0.0,0.0
193,19.377,15.1,20600.0,0.0,0.0
194,19.477,16.1,23800.0,0.0,0.0
195,19.577,15.8,22000.0,0.0,0.0
196,19.677,14.3,22400.0,0.0,0.0
197,19.777,15.2,22700.0,0.0,0.0
198,19.877,16.2,19300.0,0.0,0.0
199,19.977,15.8,23600.0,0.0,0.0
200,20.077,15.3,24600.0,0.0,0.0
