# Parameter scan performed using fm_doocs_generic_scantool.py on 20240403T180230
# Original save path: ./eCTLogger_20240403T180230.txt
# DOOCS addresses used:
# Write [SP]: None [Stability Measurement] --> "[Stability Measurement]"
# Read [X]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.X/POSITION.RBV --> "FL Stage X RBV"
# Read [Y]: SINBAD.DIAG/TIMER.CENTRAL/MASTER/MACRO_PULSE_NUMBER --> "Macropulse Number"
# Additional recorded addresses:
#  [ADD 1]: SINBAD.FL/THORLABS.STAGE/ROTATIONMOUNT.1/POSITION.RBV --> "FL Rotation Mount RBV"
#  [ADD 2]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.Y/POSITION.RBV --> "FL Stage Y RBV"
#  [ADD 3]: SINBAD.UTIL/MACHINE.STATE/ACCLXSISRV04._SVR/SVR.ERROR_COUNT --> "Machine Alarm Deviating"
#  [ADD 4]: SINBAD.DIAG/TICT/K7510/CHARGE.LUT --> "Turbo-ICT (Look-up table)"
# Number of measurements per step: 1
# Data from the individual DOOCS addresses was NOT SYNCED
# ---------------------------
# [SP] Data Point (No.)	[X] Position (mm)	[Y] Index ()	[ADD 1] Position (deg)	[ADD 2] Position (mm)	[ADD 3] Count ()	[ADD 4] Charge (pC)	UNIX Time Stamp (seconds)
# ---------------------------
1.0	300.0	1974994977.0	0.026046525686979294	90.0	0.0	0.0	1712160155.9608397
2.0	300.0	1974995028.0	0.026046525686979294	90.0	0.0	0.0	1712160161.1021156
3.0	299.9170227050781	1974995079.0	0.026046525686979294	90.0	0.0	0.0	1712160166.2095187
4.0	280.6654968261719	1974995131.0	0.026046525686979294	90.0	0.0	0.0	1712160171.335504
5.0	260.118896484375	1974995182.0	0.026046525686979294	90.0	0.0	0.0	1712160176.4727178
6.0	239.61343383789062	1974995233.0	0.026046525686979294	90.0	0.0	0.0	1712160181.602651
7.0	219.0877685546875	1974995284.0	0.026046525686979294	90.0	0.0	0.0	1712160186.7355337
8.0	198.5468292236328	1974995336.0	0.026046525686979294	90.0	0.0	0.015190232545137405	1712160191.8713229
9.0	177.9875030517578	1974995387.0	0.026046525686979294	90.0	0.0	0.0	1712160197.0111022
10.0	157.4364471435547	1974995439.0	0.026046525686979294	90.0	0.0	0.0	1712160202.1494102
11.0	136.8897705078125	1974995490.0	0.026046525686979294	90.0	0.0	0.0	1712160207.3276258
12.0	116.34126281738281	1974995542.0	0.026046525686979294	90.0	0.0	0.0	1712160212.4358234
13.0	95.79740142822266	1974995593.0	0.026046525686979294	90.0	0.0	0.0	1712160217.561646
14.0	75.23550415039062	1974995644.0	0.026046525686979294	90.0	0.0	0.0	1712160222.702694
15.0	54.7050895690918	1974995695.0	0.026046525686979294	90.0	0.0	0.0	1712160227.8362854
16.0	35.127872467041016	1974995747.0	0.026046525686979294	90.0	0.0	0.008776942268013954	1712160232.9763503
17.0	35.0	1974995798.0	0.026046525686979294	90.0	0.0	0.0	1712160238.1058831
18.0	35.0	1974995850.0	0.026046525686979294	90.0	0.0	0.0	1712160243.2286963
19.0	35.0	1974995901.0	0.026046525686979294	90.0	0.0	0.0	1712160248.367238
20.0	35.0	1974995952.0	0.026046525686979294	90.0	0.0	0.0	1712160253.498682
21.0	35.0	1974996003.0	0.026046525686979294	90.0	0.0	0.014862469397485256	1712160258.6351774
22.0	35.0	1974996055.0	0.026046525686979294	90.0	0.0	0.0	1712160263.7603068
23.0	35.0	1974996106.0	0.026046525686979294	90.0	0.0	0.0	1712160268.9009333
24.0	35.0	1974996157.0	0.026046525686979294	90.0	0.0	0.0	1712160274.0404716
25.0	35.0	1974996209.0	0.026046525686979294	90.0	0.0	0.0	1712160279.1840682
26.0	35.0	1974996260.0	0.026046525686979294	90.0	0.0	0.017027942463755608	1712160284.3240726
27.0	35.0	1974996312.0	0.026046525686979294	90.0	0.0	0.013640297576785088	1712160289.4507284
28.0	35.0	1974996363.0	0.026046525686979294	90.0	0.0	0.0	1712160294.5760577
29.0	35.0	1974996414.0	0.026046525686979294	90.0	0.0	0.0	1712160299.707746
30.0	35.0	1974996466.0	0.026046525686979294	90.0	0.0	0.009129594080150127	1712160304.836507
31.0	35.0	1974996517.0	0.026046525686979294	90.0	0.0	0.0	1712160309.9730973
32.0	35.0	1974996568.0	0.026046525686979294	90.0	0.0	0.0	1712160315.1158648
33.0	35.0	1974996620.0	0.026046525686979294	90.0	0.0	0.0	1712160320.2582865
34.0	35.0	1974996671.0	0.026046525686979294	90.0	0.0	0.0	1712160325.401234
35.0	35.0	1974996722.0	0.026046525686979294	90.0	0.0	0.013530150055885315	1712160330.5657895
36.0	35.0	1974996774.0	0.026046525686979294	90.0	0.0	0.0	1712160335.6882405
37.0	35.0	1974996825.0	0.026046525686979294	90.0	0.0	0.0	1712160340.82935
38.0	35.0	1974996877.0	0.026046525686979294	90.0	0.0	0.0	1712160345.9669566
39.0	35.0	1974996928.0	0.026046525686979294	90.0	0.0	0.0	1712160351.1108825
40.0	35.0	1974996980.0	0.026046525686979294	90.0	0.0	0.0	1712160356.2453535
